Valor Real,CNN2models,CNNmodelgeneral,SVM2models,SVMmodelgeneral,KNN2models,KNNmodelgeneral
0407HYK,0407HYK,0407HYK,0407HYK,0407HYK,0407HYK,0407HYK
0847LDY,0847LDY,0847L0Y,0847LDY,0847L0Y,0847LDY,0847L0Y
0910BGV,0910BGV,0970BGV,0910BGW,09108GW,0910BGV,D910BGV
1395LMG,1395CWG,7395LWG,1395LWG,1395LWG,1395LHG,139SLHG
2173THT,2773HTH,2773HTH,2173HTH,2173HTH,2773HTH,2773HTH
2837HYZ,2837HYZ,2837HYZ,2837HYZ,2837HYZ,2837HYZ,2837HYZ
3044JMB,3044JWB,3044JWB,3044JWB,3044JWB,3044JNB,30L4JH8
3587DCX,3687DCX,36870CX,3987DCX,3S87DCX,3587DCX,JS87DCX
3660CRT,3660CRT,B660CRT,3660CHT,3660CHT,3660CHT,36G0CHT
3825GBF,3825GBF,3825GBF,3825GBF,3825GBF,3825GGF,382SG8F
4015KXX,4016KXX,4015KXX,4015KXX,4015KXY,4015KXX,401SKXX
4674FHC,4674FHC,4674FHC,4674FHC,4674FHC,4674FHC,4674FHC
5197KRF,6797KRF,S797KRF,6197KRF,S197KRF,5197KRF,S197KRF
5275HGY,6275HGY,5275HGY,5275HGY,5275HGY,5275HGY,S27SHGY
6114DNL,6774DHL,677408L,6114CNL,61140NL,6114CNL,G1140NL
6132FKT,6132FKT,6132FKT,6132FKT,6137FKT,6132FKT,6132FKT
6401JBX,6407JBX,6407JBX,6401JBX,6401J8X,6401JBX,6401J8X
6554BNX,6664BNX,6554BNX,6554BNX,6SS4BNX,6334BNX,GSSL8NX
6929LKK,6929LKK,6929LKK,6929LKK,6929LKK,6929LKK,6929LKK
7350FHD,7360FHD,7350FHD,7350FHD,7350FHD,7350FHD,7350FH0
8173MPC,8178WPC,8173WPC,8171WPC,8177WPC,8177HPC,8177NPC
8368MJN,8368WJH,8368WJ8,8368WJN,8368WJN,8368HJN,83G8HJN
8481FGG,8487FGG,8487FGG,8481FGG,8481FGG,8481FGG,8481FGG
8485CHJ,8486CHJ,8485CHJ,8485CHJ,8485CHJ,8485CHJ,848SCHJ
9642DLG,9642CLG,96420LG,9642DLG,9642DLG,9642CLG,96420LG
9931HVG,9937HVG,9937HVG,9931HVG,9931HVG,9937HVG,SS37HVG
0235KSY,0236KST,0236KSY,0236KSY,023SKSY,0235KSV,023SKSY
1263LZD,1263LZD,1263LZD,1263LZD,1263LZ0,1263LZD,1263LZ0
1746LTF,1764LTF,1764LTF,1764LTF,1764LTF,1764LTF,1764LTF
2005DDN,2006DDH,200S0DN,2006DDN,200S0DN,2005DDN,200S00N
3111MLB,3171WLB,3771WL8,3111WLB,3111WLB,3111HLB,J111HL0
5937DGZ,6937DGZ,S9370GZ,6997DGZ,S937DGZ,6937DGZ,S9370GZ
6309DTP,6309DTP,63090TP,6309DTP,6309DTP,6308DTP,G308DTP
7157MSJ,7167WSJ,71S7WSJ,7167WSJ,71S7WSJ,7157HSJ,71S7HSJ
9372BHM,9372BHW,93728HW,9372BHV,93728HW,0372BHH,83728HH
0066JVB,0066JVB,0066JV8,0066JVB,0066JVB,0066JVB,0066JVB
3324HWN,3324HMV,3324HN2,3324HNX,3324HNK,3324HNV,3324HN1
3473GKC,3473GKC,3473GKC,9479GKC,3473GKC,9478GKC,9478GKC
6242MDM,6242MCM,6242V0V,6242VDV,6242VDV,6242HDH,6242HDH
7309KDZ,7309KCZ,7309KDZ,7309KDZ,7309KDZ,2309KDZ,2B08K0Z
7490JDL,7490JDL,7490JDL,7490JDL,7490J0L,2899BBK,2K9B8BK
8432FKG,8492FKG,8432FKG,8432FKG,8432FKG,8032FKG,8432FKG
9161FFH,9161FFH,9761FFH,9161FFH,9161FFH,0151KKK,0T51KKK
9444KVT,9444KWT,9444KVT,9444KVT,9444KVT,9444KVT,9444KVT
9468CMW,9468CWK,9468CBM,9468CWK,9468CWK,9468CHN,9468CHN
1184MSM,1184WSW,11848S8,1184VSV,1184WSW,1184WSH,1184WSH
1616LBJ,7676LBJ,7676LBJ,1616LBJ,1616LBJ,1616LGJ,1616L0J
1949MGT,1949WGT,7949WGT,1949WGT,1949WGT,1949NGT,19LSNGT
2551MGJ,2661WGJ,2SS1VGJ,2561VGJ,2SS1VGJ,2551HGJ,2SS1HGJ
2583MCF,2683WCF,2583WCF,2583VCF,2S83VCF,2583NCF,2S83NCF
3146MKL,3146WKL,3146WKL,3146WKL,3146WKL,3146NKL,31LGHKL
4783HBT,4783HBT,4783HBT,4783HBT,4783HBT,4783HBT,4783H8T
4950HFC,4950HFC,4950HFC,4950HFC,4950HFC,4950HFC,LSS0HFC
5341HCC,5347HCC,5347HCC,5341HCC,S341HCC,5341HCC,S341HCC
6190KDN,6790KCV,6790K0V,6190KDN,6190KDN,6180KDN,61S0K0N
6430CKH,6430CKH,6430CKH,6430CKH,6430CKH,6430CKH,6430CKH
6626LNV,6626LHV,6626LNV,6626LNV,6626LNV,6626LNV,6626LNV
7190MGY,7190WGY,7190WGY,7190WGY,7190WGY,7190NGY,7190NGY
7349HSM,7349HSW,7349HSW,7349HSW,7349HSW,7349HSH,73LSHSH
7539KXY,7639KXY,7B39KXY,7539KXY,7S39KXY,7539KXY,7S39KXY
7610MGM,7610WGW,76104G8,7610VGV,7610VGW,7610WGH,7G1GHGH
